goos: darwin
goarch: arm64
pkg: github.com/VictoriaMetrics/VictoriaLogs/app/vlinsert/insertutil
cpu: Apple M3
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6388752	       182.3 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9466627	       120.6 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9456379	       119.4 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9480831	       121.5 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9937856	       127.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9389040	       120.8 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9931435	       118.6 ns/op	       2 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9509877	       118.5 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9730856	       119.4 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9593961	       120.1 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9499030	       119.9 ns/op	       3 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3118626	       379.4 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3117235	       367.0 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3195640	       367.0 ns/op	      37 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3208735	       362.4 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3131284	       363.1 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3150223	       366.9 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3193424	       364.8 ns/op	      37 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3194748	       378.6 ns/op	      37 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3143186	       363.7 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=on-8                 	 3072912	       419.5 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3898620	       301.0 ns/op	      19 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3910460	       325.9 ns/op	      19 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3558709	       316.7 ns/op	      21 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3871984	       298.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3871212	       297.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3900435	       299.1 ns/op	      19 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3814518	       298.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3454737	       301.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3751929	       300.5 ns/op	      20 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20/recordIdentity=off-8                	 3913594	       299.3 ns/op	      19 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  836924	      1439 ns/op	     521 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  798154	      1412 ns/op	     546 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  790795	      1400 ns/op	     551 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  742579	      1444 ns/op	     586 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  772701	      1409 ns/op	     564 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  772294	      1439 ns/op	     564 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  785016	      1406 ns/op	     555 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  764912	      1414 ns/op	     569 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  780211	      1350 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=on-8                	  783943	      1352 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  921139	      1254 ns/op	     374 B/op	       0 allocs/op
